hover,89,84,55,52,19,38,63,41,19,-24,26,52,34,33,29,57,45,-86,-64,-55,26,16,21,-50,11,-18,-76,-95,-58,-39,-14,-32,-72,-44,-1,-20,-14,0,-32,-25,-25,23,21,10,28,24,9,-31,-26,-9,-41,4,-5,-8,-26,-51,-58,-12,-11,9,40,-25,-20,-30,-19,5,37,96,11,15,76,28,54,22,47,29,-10,72,50,37,5,-48,-38,27,-2,0,-21,18,55,-35,-17,2,20,42,6,47,66,64,107,107,90,110,94,114,81,102,46,78,18,4,46,-2,28,-20,-46,-30,-90,-85,-73,-99,-118,-109,-13,-58,-22,-42,-93,-73,-53,-97,-56,-103,-76,-87,-95,-90,-34,-71,-71,-41,-79,-51,-49,-57,-81,-52,-23,42,20,26
hover,-6,-6,-40,-2,-31,27,16,60,-59,-6,5,29,11,8,15,60,-2,21,12,10,13,51,99,130,115,107,110,66,70,116,145,81,103,79,76,72,67,65,62,83,65,-6,39,26,-23,27,-5,-19,4,-6,-1,-32,-24,2,27,-4,18,-16,-61,7,-15,-22,-21,-41,-62,-10,37,54,123,107,81,63,41,4,63,71,38,27,27,39,21,46,51,38,36,8,8,0,-20,-53,-9,-42,-14,15,22,6,-30,-60,-44,-106,-116,-180,-130,-97,-102,-142,-136,-168,-162,-199,-168,-128,-127,-82,-41,-32,-18,-74,-53,-41,-34,57,70,58,66,55,84,55,113,124,118,122,99,76,62,18,61,83,62,127,96,64,81,41,38,31,56,64,39,5
hover,-113,-94,-111,-137,-98,-154,-123,-145,-55,-20,-48,-73,-39,-39,-75,-89,-64,-19,0,19,-30,7,69,110,85,64,60,57,118,55,29,45,49,6,-58,-71,-34,18,33,36,51,93,-19,-9,-50,-66,-47,-96,-94,-29,-42,-94,-61,-21,10,41,13,51,73,-14,50,48,41,34,30,80,120,52,18,68,61,-23,0,-37,-31,-40,-45,-40,6,24,-43,-21,-47,-59,-49,-32,-144,-99,-78,-75,-77,-55,-110,-50,6,-17,-27,-17,48,26,111,83,83,110,114,108,113,71,33,21,27,82,72,72,-27,-18,32,22,5,26,34,50,17,17,53,33,16,-32,43,-34,-96,-66,-45,-93,-119,-66,-78,-71,-91,-50,-105,-69,-67,-72,5,-36,24,5,0,-46
hover,106,219,165,116,119,190,96,51,63,139,8,36,52,161,5,-38,-6,68,31,9,-1,87,130,81,-15,10,39,66,-92,-66,-51,91,38,-54,-89,-14,-51,8,33,-6,-90,-106,-60,7,-42,-89,-67,11,2,-75,-92,-2,93,34,-44,53,23,-40,-43,-17,32,-42,-65,35,27,-46,-25,68,82,14,23,114,64,-29,34,75,74,0,107,114,90,-36,48,98,79,1,16,-92,19,92,92,12,-27,-57,-62,-17,-66,-91,-18,-7,-58,-64,-18,-46,-23,31,-11,-85,-101,-132,-127,-138,-74,-23,-30,4,20,-55,-14,-28,-41,-1,-4,-51,-2,-27,-30,-25,-24,33,21,64,90,30,75,59,19,74,57,16,70,36,31,75,68,61,91,43,52,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backright,5,29,-32,-19,18,-36,17,13,26,31,57,93,39,-286,-4658,-5781,-5917,-5050,-3663,-2876,-1485,-1,649,1445,1965,2457,2933,3228,3358,3432,3221,2555,2133,1787,1629,1490,1363,1248,1054,577,448,212,9,-48,-93,-150,-226,-296,-337,-337,-386,-493,-535,-542,-666,-752,-709,-695,-647,-514,-534,-512,-466,-521,-472,-420,-404,-392,-379,-354,-335,-310,-232,-181,-188,-153,-102,-159,-117,-151,-128,-101,-79,-22,-13,-26,46,38,55,98,81,42,102,70,109,97,92,146,144,155,169,198,136,201,119,106,86,113,128,108,55,-7,-21,-63,-70,-77,-50,-39,-10,-9,-29,62,29,-33,27,0,-17,0,-41,-10,-34,-3,3,-13,-49,-16,46,-74,-38,-43,-46,-60,-35,23,10,24,20,61,-8,-19
backright,102,32,75,46,-30,-55,-6034,-8038,-8424,-7875,-5758,-5054,-3545,-1373,-446,875,1624,2046,2408,2846,3119,3293,3460,3768,3926,4079,3994,3622,2879,2215,1716,1505,1388,1212,962,594,263,19,-244,-352,-575,-719,-898,-999,-956,-928,-791,-664,-495,-445,-516,-513,-389,-258,-240,-101,-120,-52,64,91,4,-46,-156,-282,-405,-506,-492,-426,-367,-402,-556,-588,-496,-403,-328,-242,-211,-122,-133,-202,-225,-324,-305,-308,-230,-202,-257,-212,-153,-107,-125,-62,-67,-88,-61,3,38,24,100,2,8,-33,25,24,104,141,140,144,176,196,168,151,116,32,79,101,116,114,71,64,50,75,64,51,114,124,142,164,191,342,342,286,222,135,148,166,138,85,82,132,146,99,68,45,40,-29,-63,-92,-98,-56
backright,38,31,56,64,39,5,85,23,-114,-6184,-7171,-7545,-6771,-4646,-4104,-2476,-617,146,1396,1959,2305,2800,3228,3490,3819,3992,4133,4263,4126,3970,3034,2515,2044,1690,1415,1113,834,620,421,227,-21,-121,-228,-240,-305,-445,-534,-603,-625,-778,-832,-877,-805,-870,-866,-890,-854,-831,-750,-708,-645,-656,-513,-468,-426,-426,-466,-388,-361,-270,-191,-161,-93,-75,-97,-108,-108,-72,-24,-49,66,98,104,70,56,93,100,65,49,67,112,39,40,2,4,100,-2,-3,-6,-1,-51,-141,-61,-11,19,35,110,147,101,105,208,149,132,72,65,98,121,71,2,89,58,39,-18,14,-1,34,-12,-37,4,-100,-166,-141,-81,-176,-148,-115,-29,6,-21,0,55,-39,-46,20,35,72,104,141,60,4
backright,-10,-22,2,-15,-78,-92,-4536,-6484,-6819,-6611,-4831,-3954,-2712,-501,334,1492,2093,2434,3182,3388,3661,3840,3826,3720,3362,2984,2418,1986,1638,1305,1023,844,734,599,505,358,150,28,-100,-194,-303,-322,-444,-531,-506,-551,-583,-632,-746,-696,-730,-677,-698,-687,-562,-534,-581,-603,-532,-504,-490,-406,-297,-229,-239,-173,-145,-146,-141,-134,-52,-62,-32,8,59,12,46,27,6,60,63,0,33,57,52,57,34,-6,-75,-61,-33,23,-27,-32,-4,-111,-64,-147,-48,-17,-51,45,37,7,10,15,7,-2,25,65,94,-7,44,68,64,0,21,48,26,-37,-37,12,0,-13,16,59,53,0,-1,37,54,72,84,13,28,95,-25,-24,-14,22,22,26,-5,-38,2,75,21,24,-7,11
backright,60,45,13,-24,0,-858,-6619,-8352,-8702,-7879,-6338,-6015,-4444,-2686,-1376,153,954,1593,2195,2581,2846,3186,3338,3566,3816,4014,4240,4285,4070,3488,2819,2236,1856,1627,1366,1092,832,584,331,76,-128,-504,-674,-868,-829,-769,-697,-618,-769,-864,-862,-741,-567,-389,-336,-244,-226,-54,54,17,-9,-171,-410,-477,-503,-547,-623,-658,-737,-802,-702,-518,-400,-401,-451,-614,-732,-730,-670,-691,-573,-489,-449,-478,-433,-376,-350,-240,-205,-187,-121,-105,-40,-61,-99,0,-36,49,112,199,253,301,349,300,350,431,501,495,426,432,372,307,300,256,313,328,220,217,261,256,238,181,165,132,87,139,88,37,30,5,7,52,-10,0,53,-3,-28,-43,2,2,-39,-99,2,18,3,-113,-94,-111,-137,-98
